event_id,title,description,category,timezone,geo_coordinates_longitude,geo_coordinates_latitude,geo_address_region,location,country,phq_attendance,rank,local_rank,predicted_event_spend,entities_names,city,category_encoded,city_encoded,combined_features
8flanf9xxv82kvryet,guo pei fashioning imagination,sourced from predicthqcom  an exhibition of guo peis fashion designs this exhibition typically features a collection of her most iconic pieces including her famed gowns worn by celebrities and displayed in prestigious fashion shows visitors can expect to see a variety of guo peis creations that highlight her meticulous attention to detail her use of opulent fabrics and her ability to blend historical and cultural references with contemporary fashion design,expos,Asia/Hong_Kong,114.159495,22.3005044,Kowloon,"114.159495,22.3005044",HK,5000.0,64,62.0,816470.0,,Hong Kong,1,40,guo pei fashioning imagination sourced from predicthqcom  an exhibition of guo peis fashion designs this exhibition typically features a collection of her most iconic pieces including her famed gowns worn by celebrities and displayed in prestigious fashion shows visitors can expect to see a variety of guo peis creations that highlight her meticulous attention to detail her use of opulent fabrics and her ability to blend historical and cultural references with contemporary fashion design expos Hong Kong
3cjqpjxx7t28hw92mn,the cimp autoecosystems expo,sourced from predicthqcom,expos,Asia/Shanghai,113.7696755,22.6996734,Guangdong Sheng,"113.7696755,22.6996734",CN,300000.0,100,100.0,43909054.0,Shenzhen World Exhibition & Convention Center,Guangzhou,1,37,the cimp autoecosystems expo sourced from predicthqcom expos Guangzhou
4eevtq6fzlp3b9yaxt,luzerner fasnacht,sourced from predicthqcom  the lucerne carnivals events lozärner fasnacht are focused on parades the events preserve tradition from the 15th century which is based on the religious customs of the days before lent during the carnival days lucerne residents who are usually selfcontrolled turn the city to a center of happiness and joy,festivals,Europe/Zurich,8.308978,47.0504941,Luzern,"8.308978,47.0504941",CH,314000.0,100,100.0,43929859.0,"Luzern,Luzerner Fasnacht",Lucerne,2,52,luzerner fasnacht sourced from predicthqcom  the lucerne carnivals events lozärner fasnacht are focused on parades the events preserve tradition from the 15th century which is based on the religious customs of the days before lent during the carnival days lucerne residents who are usually selfcontrolled turn the city to a center of happiness and joy festivals Lucerne
4rqxsxznddccttqwgz,soulard mardi gras,sourced from predicthqcom  soulard mardi gras is the nations second largest mardi gras celebration home of the bud light grand parade purina pet parade and much more,festivals,America/Chicago,0.0,0.0,Missouri,"-90.20496154942742,38.60809685133623",US,500000.0,100,100.0,36619298.0,Soulard Mardi Gras,St. Louis,2,85,soulard mardi gras sourced from predicthqcom  soulard mardi gras is the nations second largest mardi gras celebration home of the bud light grand parade purina pet parade and much more festivals St. Louis
7fln85jhn3jb8uw4bm,enlighten festival,sourced from predicthqcom  enjoy awe inspiring art delicious food captivating entertainment film music and much more,festivals,Australia/Sydney,149.1310324,-35.2801846,Australian Capital Territory,"149.1310324,-35.2801846",AU,328087.0,100,100.0,22927184.0,Enlighten Festival Canberra,Canberra,2,22,enlighten festival sourced from predicthqcom  enjoy awe inspiring art delicious food captivating entertainment film music and much more festivals Canberra
8bafxfrvenbmgtmvo7,elecrama,sourced from predicthqcom,expos,Asia/Kolkata,77.500532,28.461767,Uttar Pradesh,"77.500532,28.461767",IN,400000.0,100,100.0,25960793.0,ELECRAMA,Lucknow,1,53,elecrama sourced from predicthqcom expos Lucknow
9vvr5laqhcchanxbma,mardi gras galveston,sourced from predicthqcom  mardi gras galveston is a vibrant and exhilarating festival that brings the spirit of new orleans to texas with colorful parades live music and a lively party atmosphere featuring dazzling costumes and delicious cajun cuisine it is an unforgettable celebration of culture and revelry that will transport you straight into the heart of mardi gras,festivals,America/Chicago,0.0,0.0,Texas,"-94.79113029999999,29.308990350000002",US,350000.0,100,100.0,25735223.0,Mardi Gras! Galveston,Houston,2,41,mardi gras galveston sourced from predicthqcom  mardi gras galveston is a vibrant and exhilarating festival that brings the spirit of new orleans to texas with colorful parades live music and a lively party atmosphere featuring dazzling costumes and delicious cajun cuisine it is an unforgettable celebration of culture and revelry that will transport you straight into the heart of mardi gras festivals Houston
apsqgoez8lytojxzgp,sydney gay and lesbian mardi gras,sourced from predicthqcom  the sydney gay and lesbian mardi gras at one stage temporarily the sydney mardi gras or locally mardi gras is an annual lgbt lesbian gay bisexual and transgender pride parade and festival in sydney australia,festivals,Australia/Sydney,151.2306481,-33.8873042,New South Wales,"151.2306481,-33.8873042",AU,500000.0,100,100.0,41606266.0,"Mardi Gras Parade Route,Sydney Gay and Lesbian Mardi Gras",Sydney,2,86,sydney gay and lesbian mardi gras sourced from predicthqcom  the sydney gay and lesbian mardi gras at one stage temporarily the sydney mardi gras or locally mardi gras is an annual lgbt lesbian gay bisexual and transgender pride parade and festival in sydney australia festivals Sydney
bcknhf2qgkkjzqxb6w,st louis mardi gras grand parade,sourced from predicthqcom  this event is the crown jewel of the soulard mardi gras season and is the biggest parade outside of the big easy it begins at busch stadium and proceeds through the streets of downtown south and soulard to the place where your beer was born anheuserbusch brewery,festivals,America/Chicago,0.0,0.0,Missouri,"-90.20088965621201,38.60820752085361",US,350000.0,100,100.0,27179663.0,"Busch Stadium,St Louis Mardi Gras Grand Parade",St. Louis,2,85,st louis mardi gras grand parade sourced from predicthqcom  this event is the crown jewel of the soulard mardi gras season and is the biggest parade outside of the big easy it begins at busch stadium and proceeds through the streets of downtown south and soulard to the place where your beer was born anheuserbusch brewery festivals St. Louis
cwsdnfy2m3vwnt8d3w,etechnxt,sourced from predicthqcom,expos,Asia/Kolkata,77.50053199999999,28.461767,Uttar Pradesh,"77.50053199999999,28.461767",IN,350000.0,100,100.0,25544680.0,India Expo Centre and Mart,Lucknow,1,53,etechnxt sourced from predicthqcom expos Lucknow
