event_id,title,description,category,timezone,geo_coordinates_longitude,geo_coordinates_latitude,geo_address_region,location,country,phq_attendance,rank,local_rank,predicted_event_spend,entities_names,city,category_encoded,city_encoded,combined_features
cwylyyn4rhncsnrqlz,sheikh zayed heritage festival,sourced from predicthqcom  the sheikh zayed festival will take visitors on a wondrous journey through thrilling events and enjoyable activities entertaining oneofakind shows and challenging competitions celebrating a number of cornerstone occasions where a fantastic time is guaranteed for all and visitors can take away some unforgettable memories,festivals,Asia/Dubai,54.6894071,24.2291738,Abu Dhabi,"54.6894071,24.2291738",AE,1500000.0,100,100.0,119826761.0,Sheikh Zayed Heritage Festival,Abu Dhabi,2,0,sheikh zayed heritage festival sourced from predicthqcom  the sheikh zayed festival will take visitors on a wondrous journey through thrilling events and enjoyable activities entertaining oneofakind shows and challenging competitions celebrating a number of cornerstone occasions where a fantastic time is guaranteed for all and visitors can take away some unforgettable memories festivals Abu Dhabi
8flanf9xxv82kvryet,guo pei fashioning imagination,sourced from predicthqcom  an exhibition of guo peis fashion designs this exhibition typically features a collection of her most iconic pieces including her famed gowns worn by celebrities and displayed in prestigious fashion shows visitors can expect to see a variety of guo peis creations that highlight her meticulous attention to detail her use of opulent fabrics and her ability to blend historical and cultural references with contemporary fashion design,expos,Asia/Hong_Kong,114.159495,22.3005044,Kowloon,"114.159495,22.3005044",HK,5000.0,64,62.0,816470.0,,Hong Kong,1,40,guo pei fashioning imagination sourced from predicthqcom  an exhibition of guo peis fashion designs this exhibition typically features a collection of her most iconic pieces including her famed gowns worn by celebrities and displayed in prestigious fashion shows visitors can expect to see a variety of guo peis creations that highlight her meticulous attention to detail her use of opulent fabrics and her ability to blend historical and cultural references with contemporary fashion design expos Hong Kong
3cjqpjxx7t28hw92mn,the cimp autoecosystems expo,sourced from predicthqcom,expos,Asia/Shanghai,113.7696755,22.6996734,Guangdong Sheng,"113.7696755,22.6996734",CN,300000.0,100,100.0,43909054.0,Shenzhen World Exhibition & Convention Center,Guangzhou,1,37,the cimp autoecosystems expo sourced from predicthqcom expos Guangzhou
3w8khv26bdipjknbwr,adelaide fringe festival,sourced from predicthqcom  adelaide fringe is australias largest openaccess arts festival and is internationally renowned as one of the best artists from australia and across the globe take over the city in hundreds of pop up venues in parks warehouses laneways and empty buildings as well as established venues such as theatres hotels art galleries cafes and town halls,festivals,Australia/Adelaide,138.6007456,-34.9284989,South Australia,"138.6007456,-34.9284989",AU,4600000.0,100,100.0,321511737.0,Adelaide Fringe Festival,Adelaide,2,1,adelaide fringe festival sourced from predicthqcom  adelaide fringe is australias largest openaccess arts festival and is internationally renowned as one of the best artists from australia and across the globe take over the city in hundreds of pop up venues in parks warehouses laneways and empty buildings as well as established venues such as theatres hotels art galleries cafes and town halls festivals Adelaide
3tq6xwwettgeg3aayg,cleveland auto show,sourced from predicthqcom  cleveland auto show marks the start of the spring selling season in northeast ohio featuring concept preproduction and production vehicles from the worlds auto manufacturers,expos,America/New_York,-81.8530583,41.3985579,Ohio,"-81.8530583,41.3985579",US,600000.0,100,100.0,114115664.0,"International Exposition Center,Cleveland Auto Show",Cleveland,1,27,cleveland auto show sourced from predicthqcom  cleveland auto show marks the start of the spring selling season in northeast ohio featuring concept preproduction and production vehicles from the worlds auto manufacturers expos Cleveland
43ohqei4yuvnhpssvs,florida strawberry festival,sourced from predicthqcom  the florida strawberry festival is an annual event held each spring and attracts visitors from throughout florida and around the world attendees can expect exhibits of commerce industry livestock fine arts horticulture and crafts the event also features social events contests youth developmental programs live entertainment parades and more,festivals,America/New_York,"[[-82.1450616, 28.016473], [-82.145016, 28.0156277], [-82.1440692, 28.0156301], [-82.1440853, 28.0164991], [-82.1450616, 28.016473]]",0,Florida,"-82.14455593258533,28.016059760794892",US,651647.0,100,100.0,55515749.0,Florida Strawberry Festival,Miami,2,58,florida strawberry festival sourced from predicthqcom  the florida strawberry festival is an annual event held each spring and attracts visitors from throughout florida and around the world attendees can expect exhibits of commerce industry livestock fine arts horticulture and crafts the event also features social events contests youth developmental programs live entertainment parades and more festivals Miami
4eevtq6fzlp3b9yaxt,luzerner fasnacht,sourced from predicthqcom  the lucerne carnivals events lozärner fasnacht are focused on parades the events preserve tradition from the 15th century which is based on the religious customs of the days before lent during the carnival days lucerne residents who are usually selfcontrolled turn the city to a center of happiness and joy,festivals,Europe/Zurich,8.308978,47.0504941,Luzern,"8.308978,47.0504941",CH,314000.0,100,100.0,43929859.0,"Luzern,Luzerner Fasnacht",Lucerne,2,52,luzerner fasnacht sourced from predicthqcom  the lucerne carnivals events lozärner fasnacht are focused on parades the events preserve tradition from the 15th century which is based on the religious customs of the days before lent during the carnival days lucerne residents who are usually selfcontrolled turn the city to a center of happiness and joy festivals Lucerne
4rqxsxznddccttqwgz,soulard mardi gras,sourced from predicthqcom  soulard mardi gras is the nations second largest mardi gras celebration home of the bud light grand parade purina pet parade and much more,festivals,America/Chicago,"[[-90.20574818620274, 38.606224421754106], [-90.2102155731637, 38.607466942505], [-90.20950088551744, 38.60911763166369], [-90.20471834755828, 38.60883650909804], [-90.2027725599286, 38.61122111927988], [-90.19890108232674, 38.60908540389388], [-90.20006416623686, 38.607792932002475], [-90.20033173423438, 38.60749559823934], [-90.20092640176067, 38.60803073423439], [-90.20016971767326, 38.60887159610612], [-90.20257464007139, 38.61019828072012], [-90.20435705244172, 38.60801389090196], [-90.20898911448255, 38.608286168336306], [-90.20911662683632, 38.607991657495006], [-90.20503841379725, 38.60685737824589], [-90.20458781856372, 38.60401063525973], [-90.204525283304, 38.60361555382346], [-90.20531544617656, 38.603490483303986], [-90.20574818620274, 38.606224421754106]]",0,Missouri,"-90.20496154942742,38.60809685133623",US,500000.0,100,100.0,36619298.0,Soulard Mardi Gras,St. Louis,2,85,soulard mardi gras sourced from predicthqcom  soulard mardi gras is the nations second largest mardi gras celebration home of the bud light grand parade purina pet parade and much more festivals St. Louis
4bvyqn5gerf6rdca95,geylang serai ramadan bazaar,sourced from predicthqcom  this bazaar features  over 500 food and retail stalls shopping entertainment colorful lights and more,festivals,Asia/Singapore,103.8982767,1.3167284,,"103.8982767,1.3167284",SG,2000000.0,100,100.0,142402936.0,Geylang Serai Ramadan Bazaar,Unknown,2,95,geylang serai ramadan bazaar sourced from predicthqcom  this bazaar features  over 500 food and retail stalls shopping entertainment colorful lights and more festivals Unknown
5bbe73ub9amn6so9xh,new orleans mardi gras,sourced from predicthqcom  the holiday of mardi gras fat tuesday is celebrated in new orleans louisiana although celebrations are concentrated for about two weeks before and through shrove tuesday the day before ash wednesday usually there is one major parade each day,festivals,America/Chicago,"[[-90.1023450748029, 29.926727994238387], [-90.08937921279582, 29.929427511249322], [-90.07778903327426, 29.936494452477675], [-90.07230308560293, 29.943405960027743], [-90.06953488820746, 29.95318890852929], [-90.06942597967816, 29.95357379673676], [-90.06865620326323, 29.953355979678175], [-90.07157691439707, 29.943034039972257], [-90.07725096672576, 29.935885547522325], [-90.08908078720418, 29.928672488750678], [-90.10147492519711, 29.926092005761614], [-90.10093212830061, 29.92085120814029], [-90.10089092016032, 29.920453336440904], [-90.10168666355911, 29.92037092016032], [-90.1023450748029, 29.926727994238387]]",0,Louisiana,"-90.08439009364928,29.934763435191645",US,1000000.0,100,100.0,88267382.0,New Orleans Mardi Gras,New Orleans,2,64,new orleans mardi gras sourced from predicthqcom  the holiday of mardi gras fat tuesday is celebrated in new orleans louisiana although celebrations are concentrated for about two weeks before and through shrove tuesday the day before ash wednesday usually there is one major parade each day festivals New Orleans
