event_id,title,description,category,timezone,geo_coordinates_longitude,geo_coordinates_latitude,geo_address_region,location,country,phq_attendance,rank,local_rank,predicted_event_spend,entities_names,city,category_encoded,city_encoded,combined_features,norm_attendance,norm_spend,norm_rank,norm_local_rank,collaborative_score
3cjqpjxx7t28hw92mn,the cimp autoecosystems expo,sourced from predicthqcom,expos,Asia/Shanghai,113.7696755,22.6996734,Guangdong Sheng,"113.7696755,22.6996734",CN,300000.0,100,100.0,43909054.0,Shenzhen World Exhibition & Convention Center,Guangzhou,0,30,the cimp autoecosystems expo sourced from predicthqcom expos Guangzhou,0.25245497065364897,0.4050033605283335,0.99999999999,0.0,0.37248299641845967
43ohqei4yuvnhpssvs,florida strawberry festival,sourced from predicthqcom  the florida strawberry festival is an annual event held each spring and attracts visitors from throughout florida and around the world attendees can expect exhibits of commerce industry livestock fine arts horticulture and crafts the event also features social events contests youth developmental programs live entertainment parades and more,festivals,America/New_York,"[[-82.1450616, 28.016473], [-82.145016, 28.0156277], [-82.1440692, 28.0156301], [-82.1440853, 28.0164991], [-82.1450616, 28.016473]]",0,Florida,"-82.14455593258533,28.016059760794892",US,651647.0,100,100.0,55515749.0,Florida Strawberry Festival,Miami,1,47,florida strawberry festival sourced from predicthqcom  the florida strawberry festival is an annual event held each spring and attracts visitors from throughout florida and around the world attendees can expect exhibits of commerce industry livestock fine arts horticulture and crafts the event also features social events contests youth developmental programs live entertainment parades and more festivals Miami,0.6855039124363012,0.5203675350499826,0.99999999999,0.0,0.5803118254880153
4eevtq6fzlp3b9yaxt,luzerner fasnacht,sourced from predicthqcom  the lucerne carnivals events lozärner fasnacht are focused on parades the events preserve tradition from the 15th century which is based on the religious customs of the days before lent during the carnival days lucerne residents who are usually selfcontrolled turn the city to a center of happiness and joy,festivals,Europe/Zurich,8.308978,47.0504941,Luzern,"8.308978,47.0504941",CH,314000.0,100,100.0,43929859.0,"Luzern,Luzerner Fasnacht",Lucerne,1,43,luzerner fasnacht sourced from predicthqcom  the lucerne carnivals events lozärner fasnacht are focused on parades the events preserve tradition from the 15th century which is based on the religious customs of the days before lent during the carnival days lucerne residents who are usually selfcontrolled turn the city to a center of happiness and joy festivals Lucerne,0.26969579791780063,0.4052101508033362,0.99999999999,0.0,0.37944136440662113
4rqxsxznddccttqwgz,soulard mardi gras,sourced from predicthqcom  soulard mardi gras is the nations second largest mardi gras celebration home of the bud light grand parade purina pet parade and much more,festivals,America/Chicago,"[[-90.20574818620274, 38.606224421754106], [-90.2102155731637, 38.607466942505], [-90.20950088551744, 38.60911763166369], [-90.20471834755828, 38.60883650909804], [-90.2027725599286, 38.61122111927988], [-90.19890108232674, 38.60908540389388], [-90.20006416623686, 38.607792932002475], [-90.20033173423438, 38.60749559823934], [-90.20092640176067, 38.60803073423439], [-90.20016971767326, 38.60887159610612], [-90.20257464007139, 38.61019828072012], [-90.20435705244172, 38.60801389090196], [-90.20898911448255, 38.608286168336306], [-90.20911662683632, 38.607991657495006], [-90.20503841379725, 38.60685737824589], [-90.20458781856372, 38.60401063525973], [-90.204525283304, 38.60361555382346], [-90.20531544617656, 38.603490483303986], [-90.20574818620274, 38.606224421754106]]",0,Missouri,"-90.20496154942742,38.60809685133623",US,500000.0,100,100.0,36619298.0,Soulard Mardi Gras,St. Louis,1,67,soulard mardi gras sourced from predicthqcom  soulard mardi gras is the nations second largest mardi gras celebration home of the bud light grand parade purina pet parade and much more festivals St. Louis,0.4987525029986724,0.3325471890338436,0.99999999999,0.0,0.44926515790812205
7fln85jhn3jb8uw4bm,enlighten festival,sourced from predicthqcom  enjoy awe inspiring art delicious food captivating entertainment film music and much more,festivals,Australia/Sydney,149.1310324,-35.2801846,Australian Capital Territory,"149.1310324,-35.2801846",AU,328087.0,100,100.0,22927184.0,Enlighten Festival Canberra,Canberra,1,20,enlighten festival sourced from predicthqcom  enjoy awe inspiring art delicious food captivating entertainment film music and much more festivals Canberra,0.2870437646085223,0.19645509485317345,0.99999999999,0.0,0.323754034297861
8bafxfrvenbmgtmvo7,elecrama,sourced from predicthqcom,expos,Asia/Kolkata,77.500532,28.461767,Uttar Pradesh,"77.500532,28.461767",IN,400000.0,100,100.0,25960793.0,ELECRAMA,Lucknow,0,44,elecrama sourced from predicthqcom expos Lucknow,0.37560373682616066,0.22660750241677746,0.99999999999,0.0,0.3682237454539975
9vvr5laqhcchanxbma,mardi gras galveston,sourced from predicthqcom  mardi gras galveston is a vibrant and exhilarating festival that brings the spirit of new orleans to texas with colorful parades live music and a lively party atmosphere featuring dazzling costumes and delicious cajun cuisine it is an unforgettable celebration of culture and revelry that will transport you straight into the heart of mardi gras,festivals,America/Chicago,"[[-94.78223052232669, 29.311744149542136], [-94.78184367278455, 29.311845871868833], [-94.78164022813117, 29.311072172784563], [-94.80003007767331, 29.306236550457864], [-94.80041692721545, 29.306134828131167], [-94.80062037186883, 29.306908527215437], [-94.78223052232669, 29.311744149542136]]",0,Texas,"-94.79113029999999,29.308990350000002",US,350000.0,100,100.0,25735223.0,Mardi Gras! Galveston,Houston,1,33,mardi gras galveston sourced from predicthqcom  mardi gras galveston is a vibrant and exhilarating festival that brings the spirit of new orleans to texas with colorful parades live music and a lively party atmosphere featuring dazzling costumes and delicious cajun cuisine it is an unforgettable celebration of culture and revelry that will transport you straight into the heart of mardi gras festivals Houston,0.3140293537399048,0.22436546048780043,0.99999999999,0.0,0.34292137964080205
apsqgoez8lytojxzgp,sydney gay and lesbian mardi gras,sourced from predicthqcom  the sydney gay and lesbian mardi gras at one stage temporarily the sydney mardi gras or locally mardi gras is an annual lgbt lesbian gay bisexual and transgender pride parade and festival in sydney australia,festivals,Australia/Sydney,151.2306481,-33.8873042,New South Wales,"151.2306481,-33.8873042",AU,500000.0,100,100.0,41606266.0,"Mardi Gras Parade Route,Sydney Gay and Lesbian Mardi Gras",Sydney,1,68,sydney gay and lesbian mardi gras sourced from predicthqcom  the sydney gay and lesbian mardi gras at one stage temporarily the sydney mardi gras or locally mardi gras is an annual lgbt lesbian gay bisexual and transgender pride parade and festival in sydney australia festivals Sydney,0.4987525029986724,0.38211491237678313,0.99999999999,0.0,0.46413547491100393
bcknhf2qgkkjzqxb6w,st louis mardi gras grand parade,sourced from predicthqcom  this event is the crown jewel of the soulard mardi gras season and is the biggest parade outside of the big easy it begins at busch stadium and proceeds through the streets of downtown south and soulard to the place where your beer was born anheuserbusch brewery,festivals,America/Chicago,"[[-90.20230565616754, 38.608048226557436], [-90.19325000547981, 38.617323139480625], [-90.19297056599919, 38.617609344960435], [-90.19239815503957, 38.61705046599919], [-90.20167854383246, 38.60754537344257], [-90.20761164381129, 38.59845595793716], [-90.20783028587414, 38.59812100174845], [-90.20850019825156, 38.598558285874134], [-90.20230565616754, 38.608048226557436]]",0,Missouri,"-90.20088965621201,38.60820752085361",US,350000.0,100,100.0,27179663.0,"Busch Stadium,St Louis Mardi Gras Grand Parade",St. Louis,1,67,st louis mardi gras grand parade sourced from predicthqcom  this event is the crown jewel of the soulard mardi gras season and is the biggest parade outside of the big easy it begins at busch stadium and proceeds through the streets of downtown south and soulard to the place where your beer was born anheuserbusch brewery festivals St. Louis,0.3140293537399048,0.23872240087832938,0.99999999999,0.0,0.34722846175796074
ceqsvpv3yphcxungmp,kampong gelam ramadan bazaar,sourced from predicthqcom  this bazaar features special collaborations celebrating the iconic mosque such as captivating light shows showcasing its history and several curated art installations and also boasting over 107 fb and retail vendors live cooking shows light projections and traditional dance performances,festivals,Asia/Singapore,103.8600875,1.3013928,,"103.8600875,1.3013928",SG,700000.0,100,100.0,52909326.0,Kampong Gelam Ramadan Bazaar,Unknown,1,77,kampong gelam ramadan bazaar sourced from predicthqcom  this bazaar features special collaborations celebrating the iconic mosque such as captivating light shows showcasing its history and several curated art installations and also boasting over 107 fb and retail vendors live cooking shows light projections and traditional dance performances festivals Unknown,0.7450500353436957,0.49446112173859286,0.99999999999,0.0,0.5963583506575562
